inspection_id,timestamp,product_batch,machine_id,production_line,inspector_id,product_type,inspection_stage,quality_score,pass_fail,defect_type,defect_severity,defect_location,defect_description,corrective_action,material_batch,supplier,dimensions_x_mm,dimensions_y_mm,dimensions_z_mm,weight_grams,surface_finish_ra,hardness_hrc,color_match,functionality_test,durability_score,customer_spec,tolerance_met,rework_required,scrap_decision,cost_impact_usd
QC_001,2024-10-01 08:15:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,94.5,PASS,NONE,NONE,N/A,Product meets all specifications,None required,MAT_A_2024_078,SUPPLIER_ACME,100.2,50.1,25.0,245.8,1.2,58,EXCELLENT,PASS,98,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_002,2024-10-01 08:20:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,92.8,PASS,MINOR_SCRATCH,LOW,SURFACE_TOP,Small scratch on top surface - cosmetic only,Polish surface,MAT_A_2024_078,SUPPLIER_ACME,100.1,50.0,25.1,246.2,1.4,58,GOOD,PASS,97,SPEC_ALPHA_V2.1,TRUE,TRUE,FALSE,12.50
QC_003,2024-10-01 08:25:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,87.2,FAIL,DIMENSION_ERROR,MEDIUM,DIMENSION_X,X-dimension out of tolerance by 0.8mm,Adjust machine calibration,MAT_A_2024_078,SUPPLIER_ACME,100.8,50.0,25.0,245.5,1.3,57,GOOD,PASS,95,SPEC_ALPHA_V2.1,FALSE,TRUE,FALSE,45.00
QC_004,2024-10-01 08:30:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,96.1,PASS,NONE,NONE,N/A,Excellent quality - above average specs,None required,MAT_A_2024_078,SUPPLIER_ACME,99.9,49.9,25.0,245.9,1.1,58,EXCELLENT,PASS,99,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_005,2024-10-01 08:35:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,89.4,PASS,COLOR_VARIATION,LOW,SURFACE_SIDE,Slight color variation on side panel,Color correction in next batch,MAT_A_2024_078,SUPPLIER_ACME,100.0,50.1,25.0,246.1,1.3,58,ACCEPTABLE,PASS,96,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_006,2024-10-01 09:10:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,91.7,PASS,SURFACE_ROUGHNESS,LOW,SURFACE_BOTTOM,Bottom surface slightly rougher than spec,Adjust cutting parameters,MAT_A_2024_079,SUPPLIER_ACME,100.1,50.0,25.0,245.7,1.6,58,GOOD,PASS,94,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_007,2024-10-01 09:15:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,95.3,PASS,NONE,NONE,N/A,Product within all specifications,None required,MAT_A_2024_079,SUPPLIER_ACME,99.8,49.9,25.1,246.0,1.2,58,EXCELLENT,PASS,98,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_008,2024-10-01 09:20:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,83.6,FAIL,CRACK,HIGH,STRUCTURAL,Hairline crack detected in structural component,Reject and investigate root cause,MAT_A_2024_079,SUPPLIER_ACME,100.0,50.0,25.0,245.8,1.3,55,GOOD,FAIL,78,SPEC_ALPHA_V2.1,FALSE,FALSE,TRUE,125.00
QC_009,2024-10-01 09:25:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,93.8,PASS,MINOR_BURR,LOW,EDGE_CORNER,Small burr on corner edge,Deburr manually,MAT_A_2024_079,SUPPLIER_ACME,100.1,50.1,24.9,245.9,1.3,58,GOOD,PASS,96,SPEC_ALPHA_V2.1,TRUE,TRUE,FALSE,8.75
QC_010,2024-10-01 09:30:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,97.2,PASS,NONE,NONE,N/A,Superior quality product,None required,MAT_A_2024_079,SUPPLIER_ACME,99.9,50.0,25.0,246.2,1.1,59,EXCELLENT,PASS,99,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_011,2024-10-01 11:45:00,BATCH_B001,MACHINE_003,LINE_B,QC_003,WIDGET_BETA,FINAL_INSPECTION,88.9,PASS,ASSEMBLY_GAP,MEDIUM,JOINT_SEAM,Gap in assembly joint slightly wider than spec,Adjust assembly pressure,MAT_B_2024_045,SUPPLIER_BETA,75.2,35.1,40.0,185.4,2.1,52,GOOD,PASS,91,SPEC_BETA_V1.8,TRUE,TRUE,FALSE,22.50
QC_012,2024-10-01 11:50:00,BATCH_B001,MACHINE_003,LINE_B,QC_003,WIDGET_BETA,FINAL_INSPECTION,92.4,PASS,MINOR_DENT,LOW,SURFACE_TOP,Small dent on top surface,Light hammering repair,MAT_B_2024_045,SUPPLIER_BETA,75.0,35.0,40.1,185.2,2.0,52,ACCEPTABLE,PASS,93,SPEC_BETA_V1.8,TRUE,TRUE,FALSE,15.00
QC_013,2024-10-01 11:55:00,BATCH_B001,MACHINE_003,LINE_B,QC_003,WIDGET_BETA,FINAL_INSPECTION,85.1,FAIL,HARDNESS_LOW,HIGH,MATERIAL,Hardness test failed - below minimum spec,Heat treatment rework required,MAT_B_2024_045,SUPPLIER_BETA,75.1,35.0,40.0,185.3,2.0,48,GOOD,PASS,82,SPEC_BETA_V1.8,FALSE,TRUE,FALSE,85.00
QC_014,2024-10-01 12:00:00,BATCH_B001,MACHINE_003,LINE_B,QC_003,WIDGET_BETA,FINAL_INSPECTION,94.7,PASS,NONE,NONE,N/A,Meets all quality requirements,None required,MAT_B_2024_045,SUPPLIER_BETA,74.9,35.1,40.0,185.6,1.9,53,EXCELLENT,PASS,97,SPEC_BETA_V1.8,TRUE,FALSE,FALSE,0.00
QC_015,2024-10-01 12:05:00,BATCH_B001,MACHINE_003,LINE_B,QC_003,WIDGET_BETA,FINAL_INSPECTION,90.3,PASS,FINISH_IMPERFECTION,LOW,SURFACE_SIDE,Minor finish imperfection on side surface,Sand and refinish,MAT_B_2024_045,SUPPLIER_BETA,75.0,35.0,40.0,185.5,2.3,52,ACCEPTABLE,PASS,92,SPEC_BETA_V1.8,TRUE,TRUE,FALSE,18.00
QC_016,2024-10-01 14:30:00,BATCH_A004,MACHINE_001,LINE_A,QC_004,WIDGET_ALPHA,INCOMING_MATERIAL,87.5,PASS,MATERIAL_VARIATION,MEDIUM,MATERIAL,Material hardness variation within acceptable range,Monitor supplier quality,MAT_A_2024_080,SUPPLIER_ACME,N/A,N/A,N/A,N/A,N/A,56,N/A,N/A,N/A,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_017,2024-10-01 14:35:00,BATCH_A004,MACHINE_001,LINE_A,QC_004,WIDGET_ALPHA,INCOMING_MATERIAL,91.8,PASS,NONE,NONE,N/A,Material meets all incoming specifications,None required,MAT_A_2024_080,SUPPLIER_ACME,N/A,N/A,N/A,N/A,N/A,58,N/A,N/A,N/A,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_018,2024-10-01 14:40:00,BATCH_A004,MACHINE_001,LINE_A,QC_004,WIDGET_ALPHA,INCOMING_MATERIAL,84.2,FAIL,CONTAMINATION,HIGH,MATERIAL,Foreign particles detected in material,Reject batch and contact supplier,MAT_A_2024_080,SUPPLIER_ACME,N/A,N/A,N/A,N/A,N/A,57,N/A,N/A,N/A,SPEC_ALPHA_V2.1,FALSE,FALSE,TRUE,450.00
QC_019,2024-10-01 15:20:00,BATCH_A005,MACHINE_002,LINE_A,QC_005,WIDGET_ALPHA,IN_PROCESS,93.6,PASS,MINOR_SCRATCH,LOW,SURFACE_BOTTOM,Minor scratch during handling,Improve handling procedures,MAT_A_2024_081,SUPPLIER_ACME,100.0,50.1,25.0,245.8,1.4,58,GOOD,PASS,95,SPEC_ALPHA_V2.1,TRUE,TRUE,FALSE,10.00
QC_020,2024-10-01 15:25:00,BATCH_A005,MACHINE_002,LINE_A,QC_005,WIDGET_ALPHA,IN_PROCESS,96.8,PASS,NONE,NONE,N/A,Excellent product quality,None required,MAT_A_2024_081,SUPPLIER_ACME,99.9,49.9,25.0,246.1,1.1,58,EXCELLENT,PASS,98,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_021,2024-10-01 15:30:00,BATCH_A005,MACHINE_002,LINE_A,QC_005,WIDGET_ALPHA,IN_PROCESS,89.7,PASS,DIMENSION_TIGHT,LOW,DIMENSION_Y,Y-dimension at upper tolerance limit,Monitor machine calibration,MAT_A_2024_081,SUPPLIER_ACME,100.0,50.3,25.0,245.9,1.2,58,GOOD,PASS,94,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_022,2024-10-01 22:15:00,BATCH_A006,MACHINE_001,LINE_A,QC_006,WIDGET_ALPHA,FINAL_INSPECTION,91.2,PASS,SURFACE_MARK,LOW,SURFACE_TOP,Light surface marking from tooling,Adjust tool pressure,MAT_A_2024_082,SUPPLIER_ACME,100.1,50.0,25.0,245.7,1.5,58,ACCEPTABLE,PASS,94,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_023,2024-10-01 22:20:00,BATCH_A006,MACHINE_001,LINE_A,QC_006,WIDGET_ALPHA,FINAL_INSPECTION,95.4,PASS,NONE,NONE,N/A,High quality product,None required,MAT_A_2024_082,SUPPLIER_ACME,99.8,50.0,25.1,246.0,1.2,58,EXCELLENT,PASS,97,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_024,2024-10-01 22:25:00,BATCH_A006,MACHINE_001,LINE_A,QC_006,WIDGET_ALPHA,FINAL_INSPECTION,88.3,PASS,ASSEMBLY_LOOSE,MEDIUM,FASTENER,Fastener slightly loose - within tolerance,Increase torque specification,MAT_A_2024_082,SUPPLIER_ACME,100.0,50.0,25.0,245.8,1.3,58,GOOD,PASS,90,SPEC_ALPHA_V2.1,TRUE,TRUE,FALSE,5.50
QC_025,2024-10-02 09:35:00,BATCH_A007,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,IN_PROCESS,94.1,PASS,NONE,NONE,N/A,Product meets specifications,None required,MAT_A_2024_083,SUPPLIER_ACME,100.0,50.0,25.0,245.9,1.2,58,EXCELLENT,PASS,96,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_026,2024-10-02 09:40:00,BATCH_A007,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,IN_PROCESS,86.7,FAIL,POROSITY,HIGH,MATERIAL,Material porosity exceeds acceptable limits,Investigate casting process,MAT_A_2024_083,SUPPLIER_ACME,100.0,50.0,25.0,245.2,1.3,55,GOOD,FAIL,79,SPEC_ALPHA_V2.1,FALSE,FALSE,TRUE,95.00
QC_027,2024-10-02 09:45,BATCH_A007,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,IN_PROCESS,92.8,PASS,MINOR_CHIP,LOW,EDGE_CORNER,Small chip on corner edge,File smooth,MAT_A_2024_083,SUPPLIER_ACME,100.0,50.0,25.0,245.8,1.4,58,GOOD,PASS,94,SPEC_ALPHA_V2.1,TRUE,TRUE,FALSE,7.25
QC_028,2024-10-02 11:15:00,BATCH_B004,MACHINE_004,LINE_B,QC_003,WIDGET_BETA,FINAL_INSPECTION,93.5,PASS,NONE,NONE,N/A,Quality within specifications,None required,MAT_B_2024_046,SUPPLIER_BETA,75.0,35.0,40.0,185.4,2.0,52,GOOD,PASS,95,SPEC_BETA_V1.8,TRUE,FALSE,FALSE,0.00
QC_029,2024-10-02 11:20:00,BATCH_B004,MACHINE_004,LINE_B,QC_003,WIDGET_BETA,FINAL_INSPECTION,88.9,PASS,WELD_UNDERCUT,MEDIUM,WELD_SEAM,Slight undercut in weld seam,Improve welding technique,MAT_B_2024_046,SUPPLIER_BETA,75.1,35.0,40.0,185.2,2.1,52,ACCEPTABLE,PASS,89,SPEC_BETA_V1.8,TRUE,TRUE,FALSE,32.00
QC_030,2024-10-02 11:25:00,BATCH_B004,MACHINE_004,LINE_B,QC_003,WIDGET_BETA,FINAL_INSPECTION,96.2,PASS,NONE,NONE,N/A,Exceptional quality product,None required,MAT_B_2024_046,SUPPLIER_BETA,74.9,35.0,40.0,185.6,1.9,53,EXCELLENT,PASS,98,SPEC_BETA_V1.8,TRUE,FALSE,FALSE,0.00
QC_031,2024-10-03 08:50:00,BATCH_A008,MACHINE_001,LINE_A,QC_002,WIDGET_GAMMA,INCOMING_MATERIAL,90.4,PASS,NONE,NONE,N/A,New product type - initial quality assessment,None required,MAT_G_2024_001,SUPPLIER_GAMMA,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,SPEC_GAMMA_V1.0,TRUE,FALSE,FALSE,0.00
QC_032,2024-10-03 08:55:00,BATCH_A008,MACHINE_001,LINE_A,QC_002,WIDGET_GAMMA,INCOMING_MATERIAL,87.8,PASS,SURFACE_OXIDATION,LOW,SURFACE_ALL,Light surface oxidation - acceptable level,Monitor storage conditions,MAT_G_2024_001,SUPPLIER_GAMMA,N/A,N/A,N/A,N/A,N/A,59,N/A,N/A,N/A,SPEC_GAMMA_V1.0,TRUE,FALSE,FALSE,0.00
QC_033,2024-10-03 13:20:00,BATCH_A009,MACHINE_001,LINE_A,QC_004,WIDGET_GAMMA,IN_PROCESS,92.1,PASS,TOOL_MARK,LOW,SURFACE_SIDE,Light tool marks from machining,Adjust cutting speed,MAT_G_2024_002,SUPPLIER_GAMMA,120.1,60.0,30.0,312.5,1.8,60,GOOD,PASS,93,SPEC_GAMMA_V1.0,TRUE,FALSE,FALSE,0.00
QC_034,2024-10-03 13:25:00,BATCH_A009,MACHINE_001,LINE_A,QC_004,WIDGET_GAMMA,IN_PROCESS,94.7,PASS,NONE,NONE,N/A,Product meets new specifications,None required,MAT_G_2024_002,SUPPLIER_GAMMA,119.9,60.0,30.0,312.8,1.6,60,EXCELLENT,PASS,96,SPEC_GAMMA_V1.0,TRUE,FALSE,FALSE,0.00
QC_035,2024-10-03 13:30:00,BATCH_A009,MACHINE_001,LINE_A,QC_004,WIDGET_GAMMA,IN_PROCESS,89.6,PASS,DIMENSION_VARIATION,MEDIUM,DIMENSION_Z,Z-dimension shows slight variation,Stabilize machining parameters,MAT_G_2024_002,SUPPLIER_GAMMA,120.0,60.0,30.2,312.6,1.7,60,GOOD,PASS,92,SPEC_GAMMA_V1.0,TRUE,FALSE,FALSE,0.00
QC_036,2024-10-04 10:15:00,BATCH_B005,MACHINE_004,LINE_B,QC_005,WIDGET_DELTA,INCOMING_MATERIAL,85.3,FAIL,MATERIAL_DEFECT,HIGH,MATERIAL,Material contains inclusions,Return to supplier,MAT_D_2024_001,SUPPLIER_DELTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPEC_DELTA_V1.2,FALSE,FALSE,TRUE,275.00
QC_037,2024-10-04 10:20:00,BATCH_B005,MACHINE_004,LINE_B,QC_005,WIDGET_DELTA,INCOMING_MATERIAL,91.7,PASS,NONE,NONE,N/A,Replacement material acceptable,None required,MAT_D_2024_002,SUPPLIER_DELTA,N/A,N/A,N/A,N/A,N/A,45,N/A,N/A,N/A,SPEC_DELTA_V1.2,TRUE,FALSE,FALSE,0.00
QC_038,2024-10-04 14:45:00,BATCH_B006,MACHINE_004,LINE_B,QC_006,WIDGET_DELTA,IN_PROCESS,93.8,PASS,MINOR_SCRATCH,LOW,SURFACE_BOTTOM,Minor scratch during processing,Improve fixture design,MAT_D_2024_003,SUPPLIER_DELTA,90.0,45.1,20.0,156.7,1.5,45,GOOD,PASS,94,SPEC_DELTA_V1.2,TRUE,TRUE,FALSE,8.00
QC_039,2024-10-04 14:50:00,BATCH_B006,MACHINE_004,LINE_B,QC_006,WIDGET_DELTA,IN_PROCESS,96.4,PASS,NONE,NONE,N/A,High quality production,None required,MAT_D_2024_003,SUPPLIER_DELTA,89.9,45.0,20.0,156.9,1.3,45,EXCELLENT,PASS,97,SPEC_DELTA_V1.2,TRUE,FALSE,FALSE,0.00
QC_040,2024-10-04 14:55:00,BATCH_B006,MACHINE_004,LINE_B,QC_006,WIDGET_DELTA,IN_PROCESS,88.1,PASS,ASSEMBLY_MISALIGNMENT,MEDIUM,ASSEMBLY,Slight misalignment in assembly,Adjust fixture alignment,MAT_D_2024_003,SUPPLIER_DELTA,90.0,45.0,20.1,156.8,1.4,45,ACCEPTABLE,PASS,90,SPEC_DELTA_V1.2,TRUE,TRUE,FALSE,25.00